Node,Degree,Closeness,Betweenness,Eigenvector
603,0.07547169811320754,0.3706293706293706,0.00525433133783883,0.026764485380972047
605,0.07547169811320754,0.3706293706293706,0.00525433133783883,0.026764485380972047
606,0.11320754716981132,0.3593220338983051,0.018294037650028485,0.031732903628462206
607,0.11320754716981132,0.42063492063492064,0.03301510323898669,0.04273861998229211
726,0.1320754716981132,0.363013698630137,0.011170422539951529,0.032509808429116445
709,0.16981132075471697,0.40458015267175573,0.04049170616664275,0.0525247319502507
706,0.14150943396226415,0.3593220338983051,0.008570339095190586,0.03597163693510696
609,0.1320754716981132,0.4274193548387097,0.04189344198270051,0.04582969665698072
604,0.16037735849056603,0.43621399176954734,0.056694310433010826,0.07354346337683008
626,0.08490566037735849,0.3593220338983051,0.007640308822820087,0.02512255086336133
602,0.08490566037735849,0.40458015267175573,0.009801669150492317,0.03872824047912733
608,0.0660377358490566,0.3706293706293706,0.006005312129240646,0.02506328615412699
640,0.04716981132075471,0.34415584415584416,4.4923629829290206e-05,0.017360274394272002
621,0.09433962264150943,0.37992831541218636,0.03154717657465995,0.03491555290108337
633,0.08490566037735849,0.39114391143911437,0.012244850652403412,0.03871372220316221
628,0.07547169811320754,0.35451505016722407,0.0024328476436302326,0.028073904481556722
618,0.12264150943396226,0.37722419928825623,0.014886024340630686,0.04111603671399774
617,0.08490566037735849,0.35333333333333333,0.004574735901753712,0.029022923695580998
712,0.08490566037735849,0.3882783882783883,0.004830720077194977,0.07510656705226898
713,0.07547169811320754,0.3940520446096654,0.004023308890034526,0.07759334372212438
702,0.07547169811320754,0.4,0.01311153590979288,0.06307917642351454
703,0.07547169811320754,0.3745583038869258,0.0037326894693595226,0.06678105760720662
677,0.22641509433962265,0.4608695652173913,0.07159904883136448,0.22758670577797385
710,0.10377358490566037,0.35333333333333333,0.010095189011340822,0.025308644483486683
651,0.08490566037735849,0.3302180685358255,0.004027271265557724,0.016562223452723734
649,0.12264150943396226,0.4,0.059187996815271836,0.06874828387804743
685,0.08490566037735849,0.3302180685358255,0.004027271265557724,0.016562223452723734
624,0.16037735849056603,0.44537815126050423,0.06311705690208864,0.08019463178833912
21609,0.08490566037735849,0.3940520446096654,0.0004624202950916738,0.11064220215213216
719,0.12264150943396226,0.4588744588744589,0.032904379959814246,0.14625098036438738
720,0.12264150943396226,0.41568627450980394,0.013854418526345435,0.14133713042463708
721,0.1792452830188679,0.44537815126050423,0.058363844317762585,0.19435179388741097
722,0.10377358490566037,0.4092664092664093,0.017592299647272037,0.1138007151430941
723,0.12264150943396226,0.4326530612244898,0.02556810175633922,0.13389535423727908
724,0.14150943396226415,0.44166666666666665,0.0295391651619391,0.17568719840217917
728,0.09433962264150943,0.41732283464566927,0.02208581601304226,0.10710224714031147
714,0.07547169811320754,0.34527687296416937,0.0005405218490979797,0.022519859349192334
708,0.09433962264150943,0.37992831541218636,0.016679844015920833,0.029370540159366063
662,0.04716981132075471,0.36054421768707484,0.010390312492602468,0.024180742531591057
610,0.04716981132075471,0.3419354838709677,0.003303397467449325,0.023795425792364978
616,0.0660377358490566,0.3925925925925926,0.02521554791805583,0.036114579334388684
620,0.04716981132075471,0.3419354838709677,0.003303397467449325,0.023795425792364978
632,0.02830188679245283,0.28418230563002683,0.0,0.006432296341029441
629,0.1320754716981132,0.37722419928825623,0.026035627392005843,0.04896336249933772
611,0.07547169811320754,0.3333333333333333,0.0015774141175935242,0.019167448831268776
612,0.08490566037735849,0.3375796178343949,0.0030150297126083597,0.024100997297404267
614,0.07547169811320754,0.33650793650793653,0.0014376155950148353,0.021235129308180795
623,0.07547169811320754,0.334384858044164,0.0030803273447157554,0.021365175271036277
636,0.09433962264150943,0.3642611683848797,0.011259908279036444,0.0370531520133519
637,0.07547169811320754,0.35333333333333333,0.004373478888407221,0.030825943512829943
634,0.11320754716981132,0.3882783882783883,0.025188447126655685,0.039775410492515026
631,0.08490566037735849,0.33650793650793653,0.02152923567261032,0.02353266512118406
622,0.08490566037735849,0.34527687296416937,0.005540115137125699,0.02864999111711303
635,0.0660377358490566,0.35451505016722407,0.003208235283555448,0.024478141130504245
627,0.04716981132075471,0.3408360128617363,0.0027455493347980295,0.025125178769809037
639,0.10377358490566037,0.41732283464566927,0.04209507189749146,0.07095767647908945
625,0.009433962264150943,0.2523809523809524,0.0,0.0018083863846236495
673,0.16981132075471697,0.4435146443514644,0.04776958859559878,0.22377661521718403
655,0.12264150943396226,0.4291497975708502,0.009719257005519264,0.18754777039056442
701,0.09433962264150943,0.3642611683848797,0.012120249377031926,0.029275358411206296
704,0.11320754716981132,0.3882783882783883,0.03733263147691848,0.04223870094792597
732,0.07547169811320754,0.3271604938271605,0.0018634349005755768,0.021754300088809055
711,0.05660377358490566,0.30994152046783624,0.002576192196096998,0.011639956293101208
729,0.04716981132075471,0.3037249283667622,0.0013859539607949576,0.009550659219639124
707,0.0660377358490566,0.3302180685358255,0.0014219130537282806,0.02087312405072343
717,0.08490566037735849,0.3940520446096654,0.021393873751802593,0.07093626083149843
672,0.16981132075471697,0.4472573839662447,0.01821504085338673,0.22386460597659963
718,0.10377358490566037,0.41245136186770426,0.009725810587959778,0.11909862082348434
679,0.08490566037735849,0.38405797101449274,0.01567011433075132,0.08540851416109264
656,0.10377358490566037,0.3940520446096654,0.0038252714038616064,0.16173115994402104
669,0.1320754716981132,0.4189723320158103,0.009647702636331882,0.19672695769026197
660,0.1320754716981132,0.424,0.021986670197159136,0.14292520419698604
716,0.12264150943396226,0.3970037453183521,0.006437305378922846,0.13745507939283957
727,0.05660377358490566,0.36678200692041524,0.001154240483520815,0.06427283867610994
730,0.12264150943396226,0.3940520446096654,0.00627401125495954,0.13205090570296407
200,0.04716981132075471,0.28342245989304815,0.0,0.006829805614963114
725,0.0660377358490566,0.3509933774834437,0.020552073253327776,0.024543403824938206
648,0.10377358490566037,0.343042071197411,0.016876170617830068,0.022630932628533235
657,0.05660377358490566,0.3002832861189802,0.0003999151962004568,0.00857461708889441
645,0.07547169811320754,0.38267148014440433,0.03150973958539023,0.024449924799997493
646,0.04716981132075471,0.31268436578171094,0.0,0.011446714640930325
705,0.05660377358490566,0.3164179104477612,0.0005043629774293023,0.01785875383705325
650,0.03773584905660377,0.334384858044164,0.005025881970025274,0.02091008277383122
653,0.04716981132075471,0.34983498349834985,0.0009656740199245184,0.04550246435102691
675,0.10377358490566037,0.3569023569023569,0.013251112296876012,0.06913575780279821
678,0.0660377358490566,0.3464052287581699,0.0065406237452077555,0.04016054909866996
676,0.05660377358490566,0.3569023569023569,0.0029432676098588694,0.053484938461603126
665,0.20754716981132074,0.45493562231759654,0.06898318545127129,0.22582450949542732
684,0.16981132075471697,0.4588744588744589,0.04046363069647096,0.20353514949911966
668,0.1320754716981132,0.4380165289256198,0.021195750476542083,0.19446798427823417
670,0.18867924528301885,0.4472573839662447,0.056476207254878584,0.22673703449471178
661,0.14150943396226415,0.4092664092664093,0.008394738183091255,0.19671609291069422
659,0.14150943396226415,0.40458015267175573,0.00979485695872332,0.16753108673583558
681,0.0660377358490566,0.3680555555555556,0.0008721848681417416,0.08780972457028656
671,0.10377358490566037,0.38267148014440433,0.001629849627656223,0.13713146619189134
666,0.10377358490566037,0.42063492063492064,0.0070488510283524515,0.13518029866635378
21634,0.04716981132075471,0.35333333333333333,0.000245892319778478,0.05463263064683662
667,0.10377358490566037,0.39552238805970147,0.021124485664163674,0.1044050158792045
682,0.04716981132075471,0.3642611683848797,3.080477474008471e-05,0.07082597146605044
663,0.09433962264150943,0.37857142857142856,0.003079753001649047,0.1208544734395042
664,0.07547169811320754,0.41568627450980394,0.00481846175886455,0.10816261674949018
674,0.009433962264150943,0.3136094674556213,0.0,0.017353245846000627
686,0.14150943396226415,0.45689655172413796,0.022382884343586245,0.19471607957264803
19679,0.1792452830188679,0.5170731707317073,0.16327709272797605,0.14909881356810997
613,0.009433962264150943,0.3419354838709677,0.0,0.011457430358592884
619,0.009433962264150943,0.3419354838709677,0.0,0.011457430358592884
680,0.02830188679245283,0.33865814696485624,0.0030544926421186345,0.01947665205694028
